image_id,current_filename,recommended_filename,status,source_path
IMG_OBJECT_AGAIN,img__object_again__v1.webp,object_general_again_centered_001.webp,missing,
IMG_OBJECT_AIRPLANE,img__object_airplane__v1.webp,object_vehicle_airplane_centered_001.webp,mapped_from_legacy_word_W,/Users/mansur/universal_study_bot org/backend/static/images/word_W00029.webp
IMG_OBJECT_ALSO,img__object_also__v1.webp,object_general_also_centered_001.webp,missing,
IMG_OBJECT_AND_TOGETHER_WITH,img__object_and_together_with__v1.webp,object_general_and_together_with_centered_001.webp,missing,
IMG_OBJECT_ANSWER,img__object_answer__v1.webp,object_general_answer_centered_001.webp,missing,
IMG_OBJECT_AT_IN_ON,img__object_at_in_on__v1.webp,object_general_at_in_on_centered_001.webp,missing,
IMG_OBJECT_ATTEND_CLASS,img__object_attend_class__v1.webp,object_general_attend_class_centered_001.webp,missing,
IMG_OBJECT_BACK_SIDE,img__object_back_side__v1.webp,object_general_back_side_centered_001.webp,missing,
IMG_OBJECT_BAD,img__object_bad__v1.webp,object_general_bad_centered_001.webp,missing,
IMG_OBJECT_BALL,img__object_ball__v1.webp,object_general_ball_centered_001.webp,missing,
IMG_OBJECT_BED,img__object_bed__v1.webp,object_general_bed_centered_001.webp,missing,
IMG_OBJECT_BEFORE,img__object_before__v1.webp,object_general_before_centered_001.webp,missing,
IMG_OBJECT_BEHIND,img__object_behind__v1.webp,object_general_behind_centered_001.webp,missing,
IMG_OBJECT_BELOW,img__object_below__v1.webp,object_general_below_centered_001.webp,missing,
IMG_OBJECT_BESIDE,img__object_beside__v1.webp,object_general_beside_centered_001.webp,missing,
IMG_OBJECT_BEST,img__object_best__v1.webp,object_general_best_centered_001.webp,missing,
IMG_OBJECT_BETWEEN,img__object_between__v1.webp,object_general_between_centered_001.webp,missing,
IMG_OBJECT_BIG,img__object_big__v1.webp,object_general_big_centered_001.webp,missing,
IMG_OBJECT_BIRTHDAY,img__object_birthday__v1.webp,object_general_birthday_centered_001.webp,missing,
IMG_OBJECT_BODY,img__object_body__v1.webp,object_general_body_centered_001.webp,missing,
IMG_OBJECT_BOOK,img__object_book__v1.webp,object_general_book_centered_001.webp,missing,
IMG_OBJECT_BOY,img__object_boy__v1.webp,object_general_boy_centered_001.webp,missing,
IMG_OBJECT_BOYFRIEND,img__object_boyfriend__v1.webp,object_general_boyfriend_centered_001.webp,missing,
IMG_OBJECT_BREAD,img__object_bread__v1.webp,object_food_bread_centered_001.webp,missing,
IMG_OBJECT_BREAKFAST,img__object_breakfast__v1.webp,object_general_breakfast_centered_001.webp,missing,
IMG_OBJECT_BROKEN,img__object_broken__v1.webp,object_general_broken_centered_001.webp,missing,
IMG_OBJECT_BUILDING,img__object_building__v1.webp,object_general_building_centered_001.webp,missing,
IMG_OBJECT_BUSY,img__object_busy__v1.webp,object_vehicle_busy_centered_001.webp,missing,
IMG_OBJECT_CAN,img__object_can__v1.webp,object_general_can_centered_001.webp,missing,
IMG_OBJECT_CAR,img__object_car__v1.webp,object_vehicle_car_centered_001.webp,missing,
IMG_OBJECT_CENT,img__object_cent__v1.webp,object_general_cent_centered_001.webp,missing,
IMG_OBJECT_CHARACTER,img__object_character__v1.webp,object_general_character_centered_001.webp,missing,
IMG_OBJECT_CHILD,img__object_child__v1.webp,object_person_child_centered_001.webp,missing,
IMG_OBJECT_CHINA,img__object_china__v1.webp,object_general_china_centered_001.webp,missing,
IMG_OBJECT_CHINESE_CHARACTERS,img__object_chinese_characters__v1.webp,object_general_chinese_characters_centered_001.webp,missing,
IMG_OBJECT_CHINESE_LANGUAGE,img__object_chinese_language__v1.webp,object_general_chinese_language_centered_001.webp,missing,
IMG_OBJECT_CLASS,img__object_class__v1.webp,object_general_class_centered_001.webp,missing,
IMG_OBJECT_CLASS_DISMISSED,img__object_class_dismissed__v1.webp,object_general_class_dismissed_centered_001.webp,missing,
IMG_OBJECT_CLASSMATE,img__object_classmate__v1.webp,object_general_classmate_centered_001.webp,missing,
IMG_OBJECT_CLEAN,img__object_clean__v1.webp,object_general_clean_centered_001.webp,missing,
IMG_OBJECT_CLEAR,img__object_clear__v1.webp,object_general_clear_centered_001.webp,missing,
IMG_OBJECT_CLOSE_IT,img__object_close_it__v1.webp,object_general_close_it_centered_001.webp,missing,
IMG_OBJECT_CLOTHES,img__object_clothes__v1.webp,object_general_clothes_centered_001.webp,missing,
IMG_OBJECT_COLD,img__object_cold__v1.webp,object_general_cold_centered_001.webp,missing,
IMG_OBJECT_COLLEGE_OR_ACADEMY,img__object_college_or_academy__v1.webp,object_general_college_or_academy_centered_001.webp,missing,
IMG_OBJECT_COME_BACK,img__object_come_back__v1.webp,object_general_come_back_centered_001.webp,missing,
IMG_OBJECT_COME_IN,img__object_come_in__v1.webp,object_general_come_in_centered_001.webp,missing,
IMG_OBJECT_COME_OUT,img__object_come_out__v1.webp,object_general_come_out_centered_001.webp,missing,
IMG_OBJECT_COMMON,img__object_common__v1.webp,object_general_common_centered_001.webp,missing,
IMG_OBJECT_COMPLETED_ACTION_MARKER,img__object_completed_action_marker__v1.webp,object_general_completed_action_marker_centered_001.webp,missing,
IMG_OBJECT_COMPUTER,img__object_computer__v1.webp,object_electronics_computer_centered_001.webp,mapped_from_legacy_word_W,/Users/mansur/universal_study_bot org/backend/static/images/word_W00017.webp
IMG_OBJECT_COOKED_RICE,img__object_cooked_rice__v1.webp,object_general_cooked_rice_centered_001.webp,missing,
IMG_OBJECT_CORRECT,img__object_correct__v1.webp,object_general_correct_centered_001.webp,missing,
IMG_OBJECT_CUP,img__object_cup__v1.webp,object_general_cup_centered_001.webp,missing,
IMG_OBJECT_DAD,img__object_dad__v1.webp,object_person_dad_centered_001.webp,missing,
IMG_OBJECT_DATE,img__object_date__v1.webp,object_general_date_centered_001.webp,missing,
IMG_OBJECT_DAUGHTER,img__object_daughter__v1.webp,object_general_daughter_centered_001.webp,missing,
IMG_OBJECT_DAY_DATE,img__object_day_date__v1.webp,object_general_day_date_centered_001.webp,missing,
IMG_OBJECT_DAY_OF_MONTH,img__object_day_of_month__v1.webp,object_general_day_of_month_centered_001.webp,missing,
IMG_OBJECT_DAYTIME,img__object_daytime__v1.webp,object_general_daytime_centered_001.webp,missing,
IMG_OBJECT_DELICIOUS,img__object_delicious__v1.webp,object_general_delicious_centered_001.webp,missing,
IMG_OBJECT_DESK,img__object_desk__v1.webp,object_general_desk_centered_001.webp,missing,
IMG_OBJECT_DICTATION,img__object_dictation__v1.webp,object_general_dictation_centered_001.webp,missing,
IMG_OBJECT_DIFFERENCE,img__object_difference__v1.webp,object_general_difference_centered_001.webp,missing,
IMG_OBJECT_DIFFICULT,img__object_difficult__v1.webp,object_general_difficult_centered_001.webp,missing,
IMG_OBJECT_DINNER,img__object_dinner__v1.webp,object_general_dinner_centered_001.webp,missing,
IMG_OBJECT_DISH_OR_VEGETABLE,img__object_dish_or_vegetable__v1.webp,object_general_dish_or_vegetable_centered_001.webp,missing,
IMG_OBJECT_DO_NOT,img__object_do_not__v1.webp,object_general_do_not_centered_001.webp,missing,
IMG_OBJECT_DOCTOR,img__object_doctor__v1.webp,object_person_doctor_centered_001.webp,missing,
IMG_OBJECT_DOOR,img__object_door__v1.webp,object_general_door_centered_001.webp,missing,
IMG_OBJECT_DOORWAY,img__object_doorway__v1.webp,object_general_doorway_centered_001.webp,missing,
IMG_OBJECT_DOWN,img__object_down__v1.webp,object_general_down_centered_001.webp,missing,
IMG_OBJECT_DOWNSTAIRS,img__object_downstairs__v1.webp,object_general_downstairs_centered_001.webp,missing,
IMG_OBJECT_EARLY,img__object_early__v1.webp,object_general_early_centered_001.webp,missing,
IMG_OBJECT_EARNEST,img__object_earnest__v1.webp,object_general_earnest_centered_001.webp,missing,
IMG_OBJECT_EAST,img__object_east__v1.webp,object_general_east_centered_001.webp,missing,
IMG_OBJECT_EAST_SIDE,img__object_east_side__v1.webp,object_general_east_side_centered_001.webp,missing,
IMG_OBJECT_EGG,img__object_egg__v1.webp,object_food_egg_centered_001.webp,missing,
IMG_OBJECT_ELDERLY_PERSON,img__object_elderly_person__v1.webp,object_general_elderly_person_centered_001.webp,missing,
IMG_OBJECT_EVENING,img__object_evening__v1.webp,object_time_evening_centered_001.webp,missing,
IMG_OBJECT_EXAM,img__object_exam__v1.webp,object_general_exam_centered_001.webp,missing,
IMG_OBJECT_EXCESSIVELY,img__object_excessively__v1.webp,object_general_excessively_centered_001.webp,missing,
IMG_OBJECT_EXPENSIVE,img__object_expensive__v1.webp,object_general_expensive_centered_001.webp,missing,
IMG_OBJECT_FAMILY,img__object_family__v1.webp,object_general_family_centered_001.webp,missing,
IMG_OBJECT_FAMILY_MEMBERS,img__object_family_members__v1.webp,object_general_family_members_centered_001.webp,missing,
IMG_OBJECT_FAMOUS,img__object_famous__v1.webp,object_general_famous_centered_001.webp,missing,
IMG_OBJECT_FAR,img__object_far__v1.webp,object_general_far_centered_001.webp,missing,
IMG_OBJECT_FAST,img__object_fast__v1.webp,object_general_fast_centered_001.webp,missing,
IMG_OBJECT_FEMALE,img__object_female__v1.webp,object_general_female_centered_001.webp,missing,
IMG_OBJECT_FEMALE_STUDENT,img__object_female_student__v1.webp,object_general_female_student_centered_001.webp,missing,
IMG_OBJECT_FEW_OR_LITTLE,img__object_few_or_little__v1.webp,object_general_few_or_little_centered_001.webp,missing,
IMG_OBJECT_FINALLY,img__object_finally__v1.webp,object_general_finally_centered_001.webp,missing,
