word_public_id,word_id,word,meaning_en,status,existing_size_bytes
HSK1-W-0082,W00089,少,few or little,placeholder_or_tiny,46
HSK1-W-0083,W00090,谁,who,placeholder_or_tiny,46
HSK1-W-0084,W00091,什么,what,placeholder_or_tiny,46
HSK1-W-0085,W00092,十,ten,placeholder_or_tiny,46
HSK1-W-0086,W00093,时候,time,placeholder_or_tiny,46
HSK1-W-0087,W00094,是,to be,placeholder_or_tiny,46
HSK1-W-0093,W00100,四,four,placeholder_or_tiny,46
HSK1-W-0094,W00101,岁,years old,placeholder_or_tiny,46
HSK1-W-0095,W00102,他,he,placeholder_or_tiny,46
HSK1-W-0096,W00103,她,she,placeholder_or_tiny,46
HSK1-W-0097,W00104,太,too,placeholder_or_tiny,46
HSK1-W-0099,W00106,听,to listen,placeholder_or_tiny,46
HSK1-W-0101,W00109,我,I,placeholder_or_tiny,46
HSK1-W-0102,W00110,我们,we,placeholder_or_tiny,46
HSK1-W-0103,W00111,五,five,placeholder_or_tiny,46
HSK1-W-0104,W00112,喜欢,to like,placeholder_or_tiny,46
HSK1-W-0105,W00113,下,down,placeholder_or_tiny,46
HSK1-W-0106,W00114,下午,afternoon,placeholder_or_tiny,46
HSK1-W-0108,W00116,先生,Mr,placeholder_or_tiny,46
HSK1-W-0109,W00117,现在,now,placeholder_or_tiny,46
HSK1-W-0110,W00118,想,to think,placeholder_or_tiny,46
HSK1-W-0112,W00120,小姐,miss,placeholder_or_tiny,46
HSK1-W-0114,W00123,谢谢,thank you,placeholder_or_tiny,46
HSK1-W-0116,W00125,学生,student,placeholder_or_tiny,46
HSK1-W-0119,W00128,一,one,placeholder_or_tiny,46
HSK1-W-0123,W00133,有,to have,placeholder_or_tiny,46
HSK1-W-0124,W00134,月,month,placeholder_or_tiny,46
HSK1-W-0125,W00135,再见,goodbye,placeholder_or_tiny,46
HSK1-W-0126,W00136,在,"at, in, on",placeholder_or_tiny,46
HSK1-W-0128,W00139,这,this,placeholder_or_tiny,46
HSK1-W-0130,W00141,中午,noon,placeholder_or_tiny,46
HSK1-W-0131,W00142,住,to live,placeholder_or_tiny,46
HSK1-W-0133,W00144,字,character,placeholder_or_tiny,46
HSK1-W-0134,W00145,昨天,yesterday,placeholder_or_tiny,46
HSK1-W-0135,W00146,坐,to sit,placeholder_or_tiny,46
HSK1-W-0137,W00148,吧,a particle indicating suggestion or request,placeholder_or_tiny,46
HSK1-W-0139,W00150,百,hundred,placeholder_or_tiny,46
